#--------------------------#
#PLATO:: 'Box_ODE' app
#Database (path to): '/Users/ecisneros/Packages/plato-database/'
#Mixture:            'air5'
#Kinetics:           'air5'
#Transfer:           'TTv'
# t [s]  Y_N  Y_O  Y_N2  Y_NO  Y_O2  Th [K]  Tv [K]  rho [kg/m^3]  p [Pa]  n [1/m^3]  E [J/kg]
   8.851286155090E-05   4.856642530556E-08   2.051220355677E-07   7.670788335503E-01   8.818969066328E-06   2.329120937921E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000469910E+04   1.448594443570E+23   6.906650896590E+06
   9.119488979910E-05   5.005181305100E-08   2.113215956176E-07   7.670785779551E-01   9.363338493225E-06   2.329117973330E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000484150E+04   1.448594453880E+23   6.906652709600E+06
   9.302790710420E-05   5.106699207333E-08   2.155586460419E-07   7.670783988933E-01   9.744762576651E-06   2.329115897185E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000493880E+04   1.448594460930E+23   6.906653977230E+06
   9.584674574760E-05   5.262814641666E-08   2.220744318779E-07   7.670781165929E-01   1.034617992652E-05   2.329112625246E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000508850E+04   1.448594471770E+23   6.906655971840E+06
   9.777326535730E-05   5.369510753637E-08   2.265276043337E-07   7.670779188203E-01   1.076757416132E-05   2.329110333829E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000519080E+04   1.448594479170E+23   6.906657366570E+06
   1.007358931010E-04   5.533589282761E-08   2.333757443554E-07   7.670776070227E-01   1.143201250525E-05   2.329106722531E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000534810E+04   1.448594490570E+23   6.906659561370E+06
   1.027358931010E-04   5.644354691615E-08   2.379987559931E-07   7.670773912862E-01   1.189180536431E-05   2.329104224661E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000545420E+04   1.448594498260E+23   6.906661077260E+06
   1.057358931010E-04   5.810502604185E-08   2.449332642764E-07   7.670770597463E-01   1.259849091315E-05   2.329100387245E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000561350E+04   1.448594509790E+23   6.906663402830E+06
   1.077358931010E-04   5.921267742932E-08   2.495562635412E-07   7.670768334312E-01   1.308094537783E-05   2.329097768545E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000571970E+04   1.448594517480E+23   6.906664987690E+06
   1.107358931010E-04   6.087415242825E-08   2.564907528096E-07   7.670764860245E-01   1.382162309070E-05   2.329093749875E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000587890E+04   1.448594529020E+23   6.906667416730E+06
   1.137358931010E-04   6.253562472847E-08   2.634252302849E-07   7.670761290970E-01   1.458269584938E-05   2.329089622463E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000603820E+04   1.448594540550E+23   6.906669907840E+06
   1.157358931010E-04   6.364327136632E-08   2.680482085697E-07   7.670758858571E-01   1.510140817263E-05   2.329086810432E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000614440E+04   1.448594548240E+23   6.906671603070E+06
   1.187358931010E-04   6.530473900472E-08   2.749826656846E-07   7.670755130626E-01   1.589647224018E-05   2.329082501777E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000630370E+04   1.448594559780E+23   6.906674197640E+06
   1.217358931010E-04   6.696620379851E-08   2.819171101444E-07   7.670751307492E-01   1.671193082343E-05   2.329078084366E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000646290E+04   1.448594571320E+23   6.906676854290E+06
   1.247358931010E-04   6.862766567750E-08   2.888515416326E-07   7.670747389148E-01   1.754778370927E-05   2.329073558223E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000662220E+04   1.448594582850E+23   6.906679573020E+06
   1.277358931010E-04   7.028912457437E-08   2.957859598348E-07   7.670743375612E-01   1.840403067721E-05   2.329068923331E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000678140E+04   1.448594594390E+23   6.906682353830E+06
